Address,City,State,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"677 LIBERTY AVE.","Jersey City",NJ,40.759692,-74.050614,1,rooftop,677,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"675 LIBERTY AVE.","Jersey City",NJ,40.759576,-74.050601,1,rooftop,675,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"673 LIBERTY AVE.","Jersey City",NJ,40.759507,-74.050646,1,rooftop,673,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"671 LIBERTY AVE.","Jersey City",NJ,40.759441,-74.05069,1,rooftop,671,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"669 LIBERTY AVE.","Jersey City",NJ,40.759375,-74.050734,1,rooftop,669,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"667 LIBERTY AVE.","Jersey City",NJ,40.759308,-74.050777,1,rooftop,667,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"665 LIBERTY AVE.","Jersey City",NJ,40.759242,-74.050821,1,rooftop,665,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"663 LIBERTY AVE.","Jersey City",NJ,40.759176,-74.050865,1,rooftop,663,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"661 LIBERTY AVE.","Jersey City",NJ,40.75911,-74.050908,1,rooftop,661,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"659 LIBERTY AVE.","Jersey City",NJ,40.759044,-74.050952,1,rooftop,659,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"657 LIBERTY AVE.","Jersey City",NJ,40.758977,-74.050996,1,rooftop,657,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"655 LIBERTY AVE.","Jersey City",NJ,40.758911,-74.051039,1,rooftop,655,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"653 LIBERTY ST.","Jersey City",NJ,40.758845,-74.051083,1,rooftop,653,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"651 LIBERTY AVE.","Jersey City",NJ,40.758779,-74.051127,1,rooftop,651,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"649 LIBERTY AVE.","Jersey City",NJ,40.758715,-74.051169,1,rooftop,649,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"647 LIBERTY AVE.","Jersey City",NJ,40.758654,-74.051209,1,rooftop,647,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"645 LIBERTY AVE.","Jersey City",NJ,40.758591,-74.05125,1,rooftop,645,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"643 LIBERTY AVE.","Jersey City",NJ,40.758529,-74.051291,1,rooftop,643,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"641 LIBERTY AVE.","Jersey City",NJ,40.758467,-74.051332,1,rooftop,641,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"639 LIBERTY AVE.","Jersey City",NJ,40.758406,-74.051372,1,rooftop,639,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"637 LIBERTY AVE","Jersey City",NJ,40.758353,-74.051491,1,rooftop,637,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"337 COLUMBIA AVE","Jersey City",NJ,40.759312,-74.049848,1,rooftop,337,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"335 COLUMBIA AVE.","Jersey City",NJ,40.759211,-74.049794,1,rooftop,335,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"333 COLUMBIA AVE.","Jersey City",NJ,40.759137,-74.049838,1,rooftop,333,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"331 COLUMBIA AVE.","Jersey City",NJ,40.759069,-74.049884,1,rooftop,331,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"329 COLUMBIA AVE.","Jersey City",NJ,40.759001,-74.049931,1,rooftop,329,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"327 COLUMBIA AVE.","Jersey City",NJ,40.758932,-74.049977,1,rooftop,327,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"325 COLUMBIA AVE.","Jersey City",NJ,40.758864,-74.050023,1,rooftop,325,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"323 COLUMBIA AVE.","Jersey City",NJ,40.758796,-74.05007,1,rooftop,323,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"321 COLUMBIA AVE.","Jersey City",NJ,40.758728,-74.050116,1,rooftop,321,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"319 COLUMBIA AVE.","Jersey City",NJ,40.758659,-74.050163,1,rooftop,319,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
