PropLocation,Address,City,State,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"127 WINFIELD AVE.        ","127 WINFIELD AVE.","Jersey City",NJ,40.693426,-74.094981,1,rooftop,127,"Winfield Ave","Jersey City",NJ,"Hudson County",07305,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"125 WINFIELD AVE.        ","125 WINFIELD AVE.","Jersey City",NJ,40.693369,-74.094931,1,rooftop,125,"Winfield Ave","Jersey City",NJ,"Hudson County",07305,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"123 WINFIELD AVE.        ","123 WINFIELD AVE.","Jersey City",NJ,40.693311,-74.094881,1,rooftop,123,"Winfield Ave","Jersey City",NJ,"Hudson County",07305,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"121 WINFIELD AVE.        ","121 WINFIELD AVE.","Jersey City",NJ,40.693254,-74.094832,1,rooftop,121,"Winfield Ave","Jersey City",NJ,"Hudson County",07305,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"119 WINFIELD AVE.        ","119 WINFIELD AVE.","Jersey City",NJ,40.693197,-74.094782,1,rooftop,119,"Winfield Ave","Jersey City",NJ,"Hudson County",07305,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"117 WINFIELD AVE.        ","117 WINFIELD AVE.","Jersey City",NJ,40.69314,-74.094732,1,rooftop,117,"Winfield Ave","Jersey City",NJ,"Hudson County",07305,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"115 WINFIELD AVE.        ","115 WINFIELD AVE.","Jersey City",NJ,40.693083,-74.094682,1,rooftop,115,"Winfield Ave","Jersey City",NJ,"Hudson County",07305,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"113 WINFIELD AVE.        ","113 WINFIELD AVE.","Jersey City",NJ,40.693026,-74.094633,1,rooftop,113,"Winfield Ave","Jersey City",NJ,"Hudson County",07305,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"111 WINFIELD AVE         ","111 WINFIELD AVE","Jersey City",NJ,40.692968,-74.094583,1,rooftop,111,"Winfield Ave","Jersey City",NJ,"Hudson County",07305,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"109 WINFIELD AVE.        ","109 WINFIELD AVE.","Jersey City",NJ,40.692911,-74.094533,1,rooftop,109,"Winfield Ave","Jersey City",NJ,"Hudson County",07305,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"111 OCEAN AVE.           ","111 OCEAN AVE.","Jersey City",NJ,40.69257,-74.094583,1,rooftop,111,"Ocean Ave","Jersey City",NJ,"Hudson County",07305,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"134 OLD BERGEN RD.       ","134 OLD BERGEN RD.","Jersey City",NJ,40.693968,-74.095167,1,rooftop,134,"Old Bergen Rd","Jersey City",NJ,"Hudson County",07305,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"136 OLD BERGEN RD.       ","136 OLD BERGEN RD.","Jersey City",NJ,40.694114,-74.09512,1,rooftop,136,"Old Bergen Rd","Jersey City",NJ,"Hudson County",07305,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"144 OLD BERGEN RD.       ","144 OLD BERGEN RD.","Jersey City",NJ,40.694094,-74.094929,1,rooftop,144,"Old Bergen Rd","Jersey City",NJ,"Hudson County",07305,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"35 BARTHOLDI AVE.        ","35 BARTHOLDI AVE.","Jersey City",NJ,40.694143,-74.094644,1,rooftop,35,"Bartholdi Ave","Jersey City",NJ,"Hudson County",07305,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
